report_id,category,narrative
153,BRAKES,Vehicle pulled hard to one side when braking. occurred during a panic stop situation. nearly resulted in a collision.
79,ELECTRICAL SYSTEM,Vehicle would not start due to what the dealer called a wiring fault. started happening around 8700 miles. left the driver stranded in a parking lot.
237,STEERING,Steering felt loose and had excessive play. steering fluid level was found to be low on inspection. was scheduled for a steering system inspection.
344,FUEL SYSTEM,Vehicle would not accept a full tank without shutting off early. occurs mostly after refueling. fuel line was replaced under warranty.
143,BRAKES,Brake pedal felt spongy and went almost to the floor. happened during normal city driving at around 3200 miles. vehicle was taken in for emergency service.
174,BRAKES,"Brakes felt like they were not engaging at all for a moment. Separately, this is the second brake-related complaint for this vehicle. reported to the dealership immediately after it happened."
136,BRAKES,"Squealing noise from the front brakes even after new pads were installed. Separately, occurred during a panic stop situation. nearly resulted in a collision."
429,TRANSMISSION,"Hard, jarring shift when accelerating from a stop. Separately, dealer has adjusted the transmission software once already. still under evaluation by the service department."
303,FUEL SYSTEM,Visible fuel leak near the fuel line was discovered. technician found a loose fuel line connection. fuel line was replaced under warranty.
55,ENGINE,"Engine makes a loud knocking noise on cold start. In addition, no warning lights appeared before the failure. repair was covered under warranty."
170,BRAKES,Brakes felt like they were not engaging at all for a moment. inspection found uneven wear on the rotors. nearly resulted in a collision.
360,FUEL SYSTEM,Visible fuel leak near the fuel line was discovered. technician found a loose fuel line connection. fuel line was replaced under warranty.
66,ELECTRICAL SYSTEM,"Battery drains completely overnight even when the vehicle is off. In addition, seems worse in humid weather. dealer replaced a wiring harness under warranty."
103,ELECTRICAL SYSTEM,"Vehicle would not start due to what the dealer called a wiring fault. Also, seems worse in humid weather. left the driver stranded in a parking lot."
449,TRANSMISSION,"Transmission fluid was found leaking underneath the vehicle. In addition, began around 22000 miles. vehicle was undriveable until repaired."
448,TRANSMISSION,"Transmission slips noticeably between second and third gear. Separately, dealer has adjusted the transmission software once already. transmission was rebuilt under warranty."
23,ENGINE,Engine lost power suddenly and would not accelerate. this happened at around 71000 miles. repair was covered under warranty.
548,TIRES,"Vibration at highway speed traced to an out-of-round tire. In addition, noticed at around 15400 miles. tire was replaced under manufacturer warranty."
325,FUEL SYSTEM,Vehicle would not accept a full tank without shutting off early. occurs mostly after refueling. reported immediately due to safety concerns.
307,FUEL SYSTEM,"Visible fuel leak near the fuel line was discovered. In addition, noticed at around 3200 miles. vehicle was not driven until inspected due to fire risk concerns."
437,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. In addition, dealer has adjusted the transmission software once already. vehicle was undriveable until repaired."
546,TIRES,"Tire showed unusual wear pattern well before expected tread life. Also, tire pressure monitoring system flagged the issue first. tire was replaced under manufacturer warranty."
26,ENGINE,"Engine idles very roughly and shakes the whole vehicle. Also, issue started about 6 months after purchase. still waiting on a diagnosis from the service department."
82,ELECTRICAL SYSTEM,"Interior lights stay on continuously and cannot be turned off. Separately, problem has occurred at least several times so far. left the driver stranded in a parking lot."
107,ELECTRICAL SYSTEM,"Infotainment screen goes black intermittently while driving. Also, no aftermarket electronics have been installed. still unresolved after multiple visits."
201,STEERING,"Power steering assist cut out briefly while turning. Also, noticed this around 44800 miles. resulted in an alignment and steering rack replacement."
87,ELECTRICAL SYSTEM,"Headlights dim and brighten on their own at low speed. Also, started happening around 44800 miles. required replacing the battery twice."
22,ENGINE,White smoke coming from under the hood after about 10 minutes of driving. problem occurs consistently in cold weather. repair was covered under warranty.
566,TIRES,Tire lost pressure repeatedly despite no visible puncture. all four tires were rotated and balanced with no improvement. raised safety concerns about a blowout at highway speed.
490,STRUCTURE,Creaking and popping noises from the body over bumps. dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty.
397,AIRBAGS,"Airbag did not deploy during a low speed collision. Also, dealer says a sensor may need replacement. scheduled for immediate inspection."
279,SUSPENSION,Clicking noise from the rear suspension at low speed. worse on uneven or gravel roads. still being evaluated by the service department.
198,STEERING,"Vehicle wandered on the highway and required constant correction. Also, noticed this around 44800 miles. was scheduled for a steering system inspection."
130,BRAKES,Vehicle pulled hard to one side when braking. inspection found uneven wear on the rotors. vehicle was taken in for emergency service.
76,ELECTRICAL SYSTEM,"Battery drains completely overnight even when the vehicle is off. Also, started happening around 3200 miles. left the driver stranded in a parking lot."
555,TIRES,Tire showed unusual wear pattern well before expected tread life. tire pressure monitoring system flagged the issue first. still waiting on a warranty determination.
569,TIRES,"Sidewall bulge appeared on one tire with normal use. Separately, noticed at around 44800 miles. tire was replaced under manufacturer warranty."
193,STEERING,"Vehicle wandered on the highway and required constant correction. Also, happens mostly on rough road surfaces. resulted in an alignment and steering rack replacement."
34,ENGINE,"Check engine light came on and the vehicle started running rough. Also, this happened at around 3200 miles. this is the second engine-related repair this year."
501,STRUCTURE,Noticed visible rust forming along the frame rail. vehicle has never been in an accident. raised concerns about long term structural integrity.
371,AIRBAGS,Airbag warning light stays illuminated on the dashboard. warning light has been on since around 8700 miles. vehicle safety is a serious concern given non-deployment.
479,TRANSMISSION,"Transmission fluid was found leaking underneath the vehicle. In addition, worse when the transmission fluid is cold. still under evaluation by the service department."
550,TIRES,"Sidewall bulge appeared on one tire with normal use. In addition, all four tires were rotated and balanced with no improvement. tire was replaced under manufacturer warranty."
407,AIRBAGS,Airbag warning light stays illuminated on the dashboard. no diagnostic trouble code could be retrieved initially. recall campaign was mentioned as a possibility by the dealer.
67,ELECTRICAL SYSTEM,"Vehicle would not start due to what the dealer called a wiring fault. Also, technician found corrosion near a connector. left the driver stranded in a parking lot."
16,ENGINE,"Engine makes a loud knocking noise on cold start. Separately, no warning lights appeared before the failure. this is the second engine-related repair this year."
332,FUEL SYSTEM,Fuel gauge reading is inconsistent with actual fuel level. smell was strong enough to be noticeable from outside the vehicle. fuel line was replaced under warranty.
59,ENGINE,"Engine idles very roughly and shakes the whole vehicle. Separately, no warning lights appeared before the failure. vehicle was towed to the dealership."
40,ENGINE,White smoke coming from under the hood after about 10 minutes of driving. problem is intermittent and hard to reproduce on demand. this is the second engine-related repair this year.
125,BRAKES,Grinding noise when braking at low speed. inspection found uneven wear on the rotors. vehicle was taken in for emergency service.
528,STRUCTURE,Door does not close flush with the body panel. dealer attributed it to a manufacturing defect during inspection. raised concerns about long term structural integrity.
168,BRAKES,Abs warning light stays on continuously. this is the second brake-related complaint for this vehicle. reported to the dealership immediately after it happened.
527,STRUCTURE,"Paint is peeling near a body seam despite normal care. Also, dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty."
558,TIRES,"Vibration at highway speed traced to an out-of-round tire. In addition, tire pressure monitoring system flagged the issue first. tire was replaced under manufacturer warranty."
347,FUEL SYSTEM,"Vehicle would not accept a full tank without shutting off early. Separately, noticed at around 22000 miles. reported immediately due to safety concerns."
297,SUSPENSION,"Noticed uneven ride height on one side of the vehicle. Also, inspection found a worn suspension component. component was replaced under warranty."
273,SUSPENSION,"Loud clunking noise from the front suspension over bumps. Also, started around 44800 miles. vehicle was deemed unsafe to drive until repaired."
94,ELECTRICAL SYSTEM,"Battery drains completely overnight even when the vehicle is off. In addition, seems worse in humid weather. still unresolved after multiple visits."
74,ELECTRICAL SYSTEM,"Vehicle would not start due to what the dealer called a wiring fault. Separately, seems worse in humid weather. still unresolved after multiple visits."
508,STRUCTURE,Trunk lid does not align properly with the rear panel. dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty.
209,STEERING,"Steering felt loose and had excessive play. Also, noticed this around 8700 miles. was scheduled for a steering system inspection."
330,FUEL SYSTEM,Fuel gauge reading is inconsistent with actual fuel level. technician found a loose fuel line connection. reported immediately due to safety concerns.
171,BRAKES,"Abs warning light stays on continuously. Separately, occurred during a panic stop situation. vehicle was taken in for emergency service."
58,ENGINE,Engine lost power suddenly and would not accelerate. problem occurs consistently in cold weather. this is the second engine-related repair this year.
151,BRAKES,"Brakes felt like they were not engaging at all for a moment. Separately, inspection found uneven wear on the rotors. nearly resulted in a collision."
280,SUSPENSION,"Noticed uneven ride height on one side of the vehicle. In addition, started around 3200 miles. vehicle was deemed unsafe to drive until repaired."
145,BRAKES,Squealing noise from the front brakes even after new pads were installed. inspection found uneven wear on the rotors. vehicle was taken in for emergency service.
36,ENGINE,"Noticed a strong burning smell coming from the engine bay. Separately, no warning lights appeared before the failure. this is the second engine-related repair this year."
190,STEERING,Steering felt loose and had excessive play. noticed this around 58200 miles. resulted in an alignment and steering rack replacement.
377,AIRBAGS,"Airbag warning light stays illuminated on the dashboard. Separately, no diagnostic trouble code could be retrieved initially. vehicle safety is a serious concern given non-deployment."
115,ELECTRICAL SYSTEM,"Infotainment screen goes black intermittently while driving. Separately, started happening around 22000 miles. required replacing the battery twice."
275,SUSPENSION,Clicking noise from the rear suspension at low speed. inspection found a worn suspension component. vehicle was deemed unsafe to drive until repaired.
536,STRUCTURE,"Trunk lid does not align properly with the rear panel. Also, vehicle has never been in an accident. panel was replaced under warranty."
197,STEERING,Vehicle wandered on the highway and required constant correction. happens mostly on rough road surfaces. was scheduled for a steering system inspection.
300,SUSPENSION,"Clicking noise from the rear suspension at low speed. Separately, started around 31500 miles. still being evaluated by the service department."
105,ELECTRICAL SYSTEM,"Infotainment screen goes black intermittently while driving. Separately, started happening around 31500 miles. left the driver stranded in a parking lot."
210,STEERING,"Steering felt loose and had excessive play. In addition, happens mostly on rough road surfaces. made the vehicle difficult to control."
175,BRAKES,"Abs warning light stays on continuously. In addition, occurred during a panic stop situation. reported to the dealership immediately after it happened."
92,ELECTRICAL SYSTEM,"Dashboard warning lights flicker on and off randomly. Separately, seems worse in humid weather. dealer replaced a wiring harness under warranty."
179,BRAKES,Grinding noise when braking at low speed. occurred during a panic stop situation. nearly resulted in a collision.
339,FUEL SYSTEM,Visible fuel leak near the fuel line was discovered. technician found a loose fuel line connection. fuel line was replaced under warranty.
142,BRAKES,"Squealing noise from the front brakes even after new pads were installed. In addition, this is the second brake-related complaint for this vehicle. nearly resulted in a collision."
485,STRUCTURE,Trunk lid does not align properly with the rear panel. first noticed around 3200 miles. panel was replaced under warranty.
